ID;Name;Categories;Price;Short desc.;Long desc;Images URL;Quantity
481222;Taśma LED zewnętrzna IP65 ściemnialna 400 lm/m 2 m INSPIRE;Ledy;31,88 ;.;'Źródło światła w zestawie': 'Tak'>'Długość (w m)': '2'>'Klasa szczelności (IP + IK)': 'IP65 '>'Strumień świetlny (w lumenach)': '800'>'Zmiana kolorów': 'Tak'>'Barwa światła': 'Od białego ciepłego do białego zimnego'>'Zmiana barwy światła': 'Tak'>'Klasa ochronności': '2: urządzenie elektryczne z podwójną izolacją'>'Szerokość (w cm)': '1.57'>'Materiał wykonania': 'Tworzywo sztuczne'>'Przeznaczenie': 'Do każdego rodzaju pomieszczeń'>'Typ instalacji': 'Do mocowania'>'Możliwość ściemniania': 'Tak'>'Zasilanie': 'Sieć zasilająca'>'Zapłon': 'Pilot'>'Kubatura ochrony': '2'>'Pobór mocy (w W)': '18'>'Napięcie (w V)': '230'>'Pilot na wyposażeniu': 'Nie'>'Transformator w zestawie': 'Nie'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276000701095'>'Numer referencyjny': '82260890'>'Cena': '31,88zł /szt.31.88zł';https://static01.leroymerlin.pl/files/media/image/879/2116879/product/tasma-led-zewnetrzna-ip65-sciemnialna-400-lm-m-2-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/432/2123432/product/tasma-led-zewnetrzna-ip65-sciemnialna-400-lm-m-2-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/433/2123433/product/tasma-led-zewnetrzna-ip65-sciemnialna-400-lm-m-2-m-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/511/2382511/product/tasma-led-zewnetrzna-ip65-sciemnialna-400-lm-m-2-m-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/512/2382512/product/tasma-led-zewnetrzna-ip65-sciemnialna-400-lm-m-2-m-inspire,large.jpg;50
481220;Taśma LED zewnętrzna IP65 RGBW 400 lm/m 5 m INSPIRE;Ledy;109 ;.;'Źródło światła w zestawie': 'Tak'>'Długość (w m)': '5'>'Klasa szczelności (IP + IK)': 'IP65 '>'Strumień świetlny (w lumenach)': '400'>'Zmiana kolorów': 'Tak'>'Barwa światła': 'RGB różnokolorowy'>'Zmiana barwy światła': 'Tak'>'Klasa ochronności': '2: urządzenie elektryczne z podwójną izolacją'>'Szerokość (w cm)': '1.57'>'Materiał wykonania': 'Tworzywo sztuczne'>'Przeznaczenie': 'Do każdego rodzaju pomieszczeń'>'Typ instalacji': 'Do mocowania'>'Możliwość ściemniania': 'Tak'>'Zasilanie': 'Sieć zasilająca'>'Zapłon': 'Pilot'>'Kubatura ochrony': '2'>'Pobór mocy (w W)': '45'>'Napięcie (w V)': '230'>'Pilot na wyposażeniu': 'Nie'>'Transformator w zestawie': 'Nie'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276000701156'>'Numer referencyjny': '82260896'>'Cena': '109zł /szt.109.00zł';https://static02.leroymerlin.pl/files/media/image/880/2116880/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/291/2122291/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/292/2122292/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/293/2122293/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/294/2122294/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/295/2122295/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/296/2122296/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/439/2123439/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/440/2123440/product/tasma-led-zewnetrzna-ip65-rgbw-400-lm-m-5-m-inspire,large.jpg;50
637931;Sterownik Mini Tuya biały 12-24 V IP20 Goldlux;Ledy;54,99 ;"Sterownik mini Tuya do taśm LED pomaga sterować jednokolorowmi taśmami za pomocą WiFi z dowolnego miejsca. Posiada funkcje: Schedule: wyłącznik czasowy, włączanie i wyłączanie światła o określonych porach; Left Time: automatyczne włączenie światła po odliczaniu zadanego czasu; oraz tryb ""nie przeszkadzać' gdy zasilaie jest włączone. Aby włączyć światło z poziomu aplikacji, zasilanie musi być włączone dwa razy z rzędu.   INTERFEJS - możesz dostosować jasność świecenia taśmy LED.   SCENY - dostępność różnych trybów, możwiwość wybrania preferowanego trybu lub stworzenie indywidualnego. Możliwość sterowania przez osobę trzecią poprzez jej dodanie zgodnie ze wskazówkami w aplikacji.";'Klasa szczelności (IP + IK)': 'IP20 '>'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Biały'>'Długość (w cm)': '34.5'>'Ilość sztuk w opakowaniu': '1'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508320292'>'Numer referencyjny': '85683562'>'Cena': '54,99zł /szt.54.99zł';https://static02.leroymerlin.pl/files/media/image/602/2887602/product/sterownik-mini-tuya-bialy-12-24-v-ip20-goldlux,large.jpg>https://static02.leroymerlin.pl/files/media/image/600/2887600/product/sterownik-mini-tuya-bialy-12-24-v-ip20-goldlux,large.jpg;50
637547;Włącznik dotykowy ze ściemniaczem czarny 12-24 V IP20 Goldlux;Ledy;19,99 ;Włącznik dotykowy ze ściemniaczem czarny do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Moc zmanionowa produktu: 12V 2A = 24W / 24V 2A = 48W.;'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Czarny'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508321473'>'Numer referencyjny': '85622877'>'Cena': '19,99zł /szt.19.99zł';https://static01.leroymerlin.pl/files/media/image/740/2881740/product/wlacznik-dotykowy-ze-sciemniaczem-czarny-12-24-v-ip20-goldlux,large.jpg;50
637542;Włącznik dotykowy ze ściemniaczem biały 12-24 V Goldlux;Ledy;19,99 ;Włącznik dotykowy ze ściemniaczem biały do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Moc zmanionowa produktu: 12V 2A = 24W / 24V 2A = 48W.;'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Biały'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508321466'>'Numer referencyjny': '85622876'>'Cena': '19,99zł /szt.19.99zł';https://static01.leroymerlin.pl/files/media/image/726/2881726/product/wlacznik-dotykowy-ze-sciemniaczem-bialy-12-24-v-goldlux,large.jpg;50
637541;Włącznik dotykowy mini 12-24 V IP20 Goldlux;Ledy;39,99 ;Włącznik dotykowy ze ściemniaczem do zabudowy do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Średnica otworu montażowego 17mm. Moc zmanionowa produktu: 12V 3A = 36W / 24V 3A = 72W.;'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Biały'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508321459'>'Numer referencyjny': '85622875'>'Cena': '39,99zł /szt.39.99zł';https://static02.leroymerlin.pl/files/media/image/720/2881720/product/wlacznik-dotykowy-mini-12-24-v-ip20-goldlux,large.jpg;50
637539;Włącznik dotykowy ze ściemniaczem 12-24 V RGBW Goldlux;Ledy;109 ;Podtynkowy włącznik dotykowy ze ściemniaczem do taśm LED RGBW 12-24V 4-kanałowy z puszką montażową w zestawie. Urządzenie służy do łatwego i szybkiego zarządzania matężeniem światła. Możliwość podłączenia wielu taśm o łącznej mocy nie przekraczającej 192W (dla 12V) i 384W (dla 24V).;'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Czarny'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508321329'>'Numer referencyjny': '85622874'>'Cena': '109zł /szt.109.00zł';https://static02.leroymerlin.pl/files/media/image/716/2881716/product/wlacznik-dotykowy-ze-sciemniaczem-12-24-v-rgbw-goldlux,large.jpg>https://static01.leroymerlin.pl/files/media/image/999/2886999/product/wlacznik-dotykowy-ze-sciemniaczem-12-24-v-rgbw-goldlux,large.jpg>https://static02.leroymerlin.pl/files/media/image/722/2887722/product/wlacznik-dotykowy-ze-sciemniaczem-12-24-v-rgbw-goldlux,large.jpg;50
637537;Pilot i sterownik RGBW 12-24 V IP20 Goldlux;Ledy;49,99 ;"Praktyczny zestaw: pilot + mini sterownik do taśm LED RGB+W 12-24V, 6A, 2,4GHz. Do zdalnego sterowania oświetleniem LED w pomieszczeniu. Pilot radiowy z wieloma funkcjami jak: dowolny wybór koloru z koła barw; skokowe zmiany barw i odcieni; automatyczne zapętlone odtwarzanie trybów.  Wymiary: pilot 11x5,2x2,3 cm / sterownik 32,2x1,4x1,03 cm.";'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Biały'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508319364'>'Numer referencyjny': '85622872'>'Cena': '49,99zł /szt.49.99zł';https://static02.leroymerlin.pl/files/media/image/724/2881724/product/pilot-i-sterownik-rgbw-12-24-v-ip20-goldlux,large.jpg;50
637527;Pilot i sterownik Mono 5-24 V IP20 Goldlux;Ledy;24,99 ;"Praktyczny zestaw: pilot + mini sterownik do taśm LED RGB+W 5-24V, 12A, 433MHz. Do zdalnego sterowania oświetleniem LED w pomieszczeniu. Pilot radiowy z wieloma funkcjami jak: dowolny wybór koloru z koła barw; skokowe zmiany barw i odcieni; automatyczne zapętlone odtwarzanie trybów.  Wymiary: pilot 8,5x4x0,6 cm / sterownik 32,2x1,4x1,03 cm.";'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Biały'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508321480'>'Numer referencyjny': '85622878'>'Cena': '24,99zł /szt.24.99zł';https://static01.leroymerlin.pl/files/media/image/723/2881723/product/pilot-i-sterownik-mono-5-24-v-ip20-goldlux,large.jpg;50
637524;Gniazdo i wtyczka IP20 12-24 V Goldlux;Ledy;7,99 ;Zestaw: Gniazdo i wtyczka 2pin do taśm led 10mm 12-24V. Złacze pozwala połączyć przewód z dowolnym urządzeniem zakończonym gniazdem DC. Aby zamontować wtyczkę wystarczy odizolować przewody, włożyc je i trwale skręcić w odpowiednich zaciskach. Oferowane złącze znajduje zastosowanie jako: podłączenie urządzeń z zasilaczami zakończonymi gniazdem DC, przedłużanie przewodów zasilających, złaczka do montażu taśm LED oraz wiele innych.;'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Czarny'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508318633'>'Numer referencyjny': '85622871'>'Cena': '7,99zł /szt.7.99zł';https://static02.leroymerlin.pl/files/media/image/729/2881729/product/gniazdo-i-wtyczka-ip20-12-24-v-goldlux,large.jpg>https://static01.leroymerlin.pl/files/media/image/966/2886966/product/gniazdo-i-wtyczka-ip20-12-24-v-goldlux,large.jpg;50
637520;Włącznik dotykowy ze ściemniaczem 12-24 V Goldlux;Ledy;99 ;Podtynkowy włącznik dotykowy ze ściemniaczem do taśm LED jednokolorowych 12-24V 4-kanałowy z puszką montażową w zestawie. Urządzenie służy do łatwego i szybkiego zarządzania matężeniem światła. Możliwość podłączenia wielu taśm o łącznej mocy nie przekraczającej 144W (dla 12V) i 288W (dla 24V).;'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Czarny'>'Marka produktu': 'GOLDLUX'>'Gwarancja (w latach)': '2'>'Kod EAN': '5901508321312'>'Numer referencyjny': '85622873'>'Cena': '99zł /szt.99.00zł';https://static01.leroymerlin.pl/files/media/image/727/2881727/product/wlacznik-dotykowy-ze-sciemniaczem-12-24-v-goldlux,large.jpg>https://static02.leroymerlin.pl/files/media/image/990/2886990/product/wlacznik-dotykowy-ze-sciemniaczem-12-24-v-goldlux,large.jpg>https://static01.leroymerlin.pl/files/media/image/723/2887723/product/wlacznik-dotykowy-ze-sciemniaczem-12-24-v-goldlux,large.jpg;50
614944;Zasilacz do taśm LED IP44 2 m 230 V Inspire ;Ledy;39 ;.;'Szerokość (w cm)': '4'>'Klasa szczelności (IP + IK)': 'IP44 '>'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Czarny'>'Długość (w cm)': '200'>'Grubość (w mm)': '32'>'Ilość sztuk w opakowaniu': '1'>'Ilość wyjść': '1'>'Rodzaj trzonka': 'Męski'>'Marka produktu': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007257861'>'Numer referencyjny': '83704505'>'Cena': '39zł /szt.39.00zł';https://static01.leroymerlin.pl/files/media/image/985/2839985/product/zasilacz-do-tasm-led-ip44-2-m-230-v-inspire,large.jpg;50
608399;Profil aluminiowy narożny do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;49,99 ;Srebrny kątowy profil o długości 2 metrów idealnie nada dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Profil narożny ma tę szczególną cechę, że dopasowuje się do kształtu miejsca montażu, wtapiając się w ścianę lub meble.;'Wysokość (w mm)': '16'>'Długość (w mm)': '2000'>'Głębokość (w mm)': '16'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Srebrny'>'Rodzina kolorów': 'Szary / srebrny'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267402'>'Numer referencyjny': '83810618'>'Cena': '49,99zł /szt.49.99zł';https://static01.leroymerlin.pl/files/media/image/999/2839999/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/155/2745155/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/156/2745156/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/157/2745157/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/067/2747067/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/068/2747068/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/069/2747069/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg;50
608398;Profil aluminiowy narożny do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;49,99 ;Biały kątowy profil o długości 2 metrów idealnie nada dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Profil narożny ma tę szczególną cechę, że dopasowuje się do kształtu miejsca montażu, wtapiając się w ścianę lub meble.;'Wysokość (w mm)': '16'>'Długość (w mm)': '2000'>'Głębokość (w mm)': '16'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Biały'>'Rodzina kolorów': 'Biały'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267396'>'Numer referencyjny': '83810617'>'Cena': '49,99zł /szt.49.99zł';https://static01.leroymerlin.pl/files/media/image/997/2839997/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/079/2747079/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/080/2747080/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/081/2747081/product/profil-aluminiowy-narozny-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg;50
608396;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;39,99 ;Srebrny wpuszczany profil o długości 2 metrów idealnie nada dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Umożliwia także stworzenie ozdobnego punktu świetlnego, jednocześnie doskonale stapiając się z podłogą i meblami.;'Wysokość (w mm)': '16'>'Długość (w mm)': '2000'>'Głębokość (w mm)': '7'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Srebrny'>'Rodzina kolorów': 'Szary / srebrny'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267365'>'Numer referencyjny': '83810614'>'Cena': '39,99zł /szt.39.99zł';https://static01.leroymerlin.pl/files/media/image/995/2839995/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/158/2745158/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/159/2745159/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/160/2745160/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/062/2747062/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/063/2747063/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/064/2747064/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg;50
608395;Profil aluminiowy do taśm LED dł. 1 m osłona mleczna Inspire;Ledy;15,99 ;Srebrne profile o długości 1 metra idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej.  Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;'Wysokość (w mm)': '7'>'Długość (w mm)': '1000'>'Głębokość (w mm)': '7'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Srebrny'>'Rodzina kolorów': 'Szary / srebrny'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267341'>'Numer referencyjny': '83810612'>'Cena': '15,99zł /szt.15.99zł';https://static02.leroymerlin.pl/files/media/image/992/2839992/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/152/2745152/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/153/2745153/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/154/2745154/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/091/2747091/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/092/2747092/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/093/2747093/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg;50
608385;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;39,99 ;Biały wpuszczany profil o długości 2 metrów idealnie nadaje się do nadania dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Umożliwia także stworzenie ozdobnego punktu świetlnego, jednocześnie doskonale stapiając się z podłogą i meblami.;'Wysokość (w mm)': '16'>'Długość (w mm)': '2000'>'Głębokość (w mm)': '7'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Biały'>'Rodzina kolorów': 'Biały'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267358'>'Numer referencyjny': '83810613'>'Cena': '39,99zł /szt.39.99zł';https://static01.leroymerlin.pl/files/media/image/993/2839993/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/140/2745140/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/141/2745141/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/142/2745142/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/021/2747021/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/022/2747022/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/023/2747023/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg;50
608384;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;34,99 ;Srebrne profile o długości 2 metrów idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej.  Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;'Wysokość (w mm)': '16'>'Długość (w mm)': '2000'>'Głębokość (w mm)': '8'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Srebrny'>'Rodzina kolorów': 'Szary / srebrny'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267334'>'Numer referencyjny': '83810611'>'Cena': '34,99zł /szt.34.99zł';https://static01.leroymerlin.pl/files/media/image/991/2839991/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/137/2745137/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/138/2745138/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static01.leroymerlin.pl/files/media/image/139/2745139/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/995/2746995/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/996/2746996/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/997/2746997/product/profil-aluminiowy-do-tasm-led-dl-2-m-oslona-mleczna-inspire,large.jpg;50
608383;Profil aluminiowy do taśm LED dł. 1 m osłona mleczna Inspire;Ledy;22,99 ;Srebrne profile o długości 1 metra idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej.  Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;'Wysokość (w mm)': '8'>'Długość (w mm)': '1000'>'Głębokość (w mm)': '8'>'Typ instalacji': 'Do mocowania'>'Materiał wykonania': 'Aluminium'>'Kolor': 'Srebrny'>'Rodzina kolorów': 'Szary / srebrny'>'Ilość sztuk w opakowaniu': '1'>'Marka handlowa': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007267310'>'Numer referencyjny': '83810609'>'Cena': '22,99zł /szt.22.99zł';https://static02.leroymerlin.pl/files/media/image/989/2839989/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/134/2745134/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/135/2745135/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/136/2745136/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/029/2747029/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/030/2747030/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg>https://static02.leroymerlin.pl/files/media/image/031/2747031/product/profil-aluminiowy-do-tasm-led-dl-1-m-oslona-mleczna-inspire,large.jpg;50
608379;Zasilacz do taśm LED + pilot IP44 2 m 230 V Inspire ;Ledy;79 ;.;'Szerokość (w cm)': '6'>'Klasa szczelności (IP + IK)': 'IP44 '>'Materiał główny': 'Tworzywo sztuczne'>'Rodzina kolorów': 'Czarny'>'Długość (w cm)': '200'>'Grubość (w mm)': '40'>'Ilość sztuk w opakowaniu': '1'>'Ilość wyjść': '1'>'Rodzaj trzonka': 'Męski'>'Marka produktu': 'INSPIRE'>'Gwarancja (w latach)': '5'>'Kod EAN': '3276007257878'>'Numer referencyjny': '83704506'>'Cena': '79zł /szt.79.00zł';https://static02.leroymerlin.pl/files/media/image/987/2839987/product/zasilacz-do-tasm-led-pilot-ip44-2-m-230-v-inspire,large.jpg;50
